entity,word,n,tf,idf,tf_idf
http://purl.obolibrary.org/obo/CMO_0000289,126plate023,1,0.014492754,5.574812093,0.080794378
http://purl.obolibrary.org/obo/CMO_0000289,126plate033,1,0.014492754,5.574812093,0.080794378
http://purl.obolibrary.org/obo/CMO_0000289,126plate092,1,0.014492754,5.574812093,0.080794378
http://purl.obolibrary.org/obo/CMO_0000289,226plate042,1,0.014492754,5.574812093,0.080794378
http://purl.obolibrary.org/obo/CMO_0000289,226plate211,1,0.014492754,5.574812093,0.080794378
http://purl.obolibrary.org/obo/CMO_0000289,126plate003,1,0.014492754,5.526021929,0.080087274
http://purl.obolibrary.org/obo/CMO_0000289,126plate053,1,0.014492754,5.526021929,0.080087274
http://purl.obolibrary.org/obo/CMO_0000289,126plate303,1,0.014492754,5.526021929,0.080087274
http://purl.obolibrary.org/obo/CMO_0000289,126plate402,1,0.014492754,5.526021929,0.080087274
http://purl.obolibrary.org/obo/CMO_0000289,226plate022,1,0.014492754,5.526021929,0.080087274
http://purl.obolibrary.org/obo/CMO_0000289,226plate102,1,0.014492754,5.526021929,0.080087274
http://purl.obolibrary.org/obo/CMO_0000289,226plate201,1,0.014492754,5.526021929,0.080087274
http://purl.obolibrary.org/obo/CMO_0000289,226plate221,1,0.014492754,5.526021929,0.080087274
http://purl.obolibrary.org/obo/CMO_0000289,126plate037,1,0.014492754,5.479501914,0.079413071
http://purl.obolibrary.org/obo/CMO_0000289,126plate313,1,0.014492754,5.479501914,0.079413071
http://purl.obolibrary.org/obo/CMO_0000289,126plate413,1,0.014492754,5.479501914,0.079413071
http://purl.obolibrary.org/obo/CMO_0000289,226plate082,1,0.014492754,5.435050151,0.078768843
http://purl.obolibrary.org/obo/CMO_0000289,226plate112,1,0.014492754,5.435050151,0.078768843
http://purl.obolibrary.org/obo/CMO_0000289,226plate152,1,0.014492754,5.435050151,0.078768843
http://purl.obolibrary.org/obo/CMO_0000289,226plate004,1,0.014492754,5.351668542,0.077560414
http://purl.obolibrary.org/obo/CMO_0000289,226plate012,1,0.014492754,5.351668542,0.077560414
http://purl.obolibrary.org/obo/CMO_0000289,226plate052,1,0.014492754,5.351668542,0.077560414
http://purl.obolibrary.org/obo/CMO_0000289,227plate005,1,0.014492754,5.274707501,0.076445036
http://purl.obolibrary.org/obo/CMO_0000289,4,1,0.014492754,4.600252453,0.066670325
http://purl.obolibrary.org/obo/CMO_0000289,illnessfull,1,0.014492754,4.176095212,0.060523119
http://purl.obolibrary.org/obo/CMO_0000591,database,9,0.142857143,3.879196485,0.554170926
http://purl.obolibrary.org/obo/CMO_0000591,bc,9,0.142857143,3.861014166,0.551573452
http://purl.obolibrary.org/obo/CMO_0000591,final,9,0.142857143,3.861014166,0.551573452
http://purl.obolibrary.org/obo/CMO_0000591,delivery,7,0.111111111,4.959626454,0.551069606
http://purl.obolibrary.org/obo/CMO_0000591,mothers,8,0.126984127,4.093207552,0.519772388
http://purl.obolibrary.org/obo/CMO_0000591,3,9,0.142857143,3.297544808,0.47107783
http://purl.obolibrary.org/obo/CMO_0000591,uprotein,2,0.031746032,8.570544367,0.272080774
http://purl.obolibrary.org/obo/CMO_0000591,luprotein1,1,0.015873016,8.570544367,0.136040387
http://purl.obolibrary.org/obo/CMO_0000591,luprotein2,1,0.015873016,8.570544367,0.136040387
http://purl.obolibrary.org/obo/CMO_0000591,luprotein3,1,0.015873016,8.570544367,0.136040387
http://purl.obolibrary.org/obo/CMO_0000591,luprotein4,1,0.015873016,8.570544367,0.136040387
http://purl.obolibrary.org/obo/CMO_0000591,luprotein5,1,0.015873016,8.570544367,0.136040387
http://purl.obolibrary.org/obo/CMO_0000591,luprotein6,1,0.015873016,8.570544367,0.136040387
http://purl.obolibrary.org/obo/CMO_0000591,luprotein7,1,0.015873016,8.570544367,0.136040387
http://purl.obolibrary.org/obo/CMO_0000591,visits,1,0.015873016,4.658521361,0.073944784
http://purl.obolibrary.org/obo/CMO_0000591,enrollment,1,0.015873016,4.443409982,0.070530317
http://purl.obolibrary.org/obo/CMO_0000591,all,1,0.015873016,4.266479274,0.067721893
http://purl.obolibrary.org/obo/DOID_0050486,16,2,0.222222222,7.877397186,1.750532708
http://purl.obolibrary.org/obo/DOID_0050486,symptoms,2,0.222222222,5.015196305,1.114488068
http://purl.obolibrary.org/obo/DOID_0050486,rash,1,0.111111111,8.570544367,0.952282707
http://purl.obolibrary.org/obo/DOID_0050486,rasherupcion,1,0.111111111,8.570544367,0.952282707
http://purl.obolibrary.org/obo/DOID_0050486,chk,2,0.222222222,3.750262801,0.833391734
http://purl.obolibrary.org/obo/DOID_0050486,fu,1,0.111111111,4.932958207,0.548106467
http://purl.obolibrary.org/obo/DOID_1074,manifestations,1,0.333333333,6.491102825,2.163700942
http://purl.obolibrary.org/obo/DOID_1074,4,1,0.333333333,4.600252453,1.533417484
http://purl.obolibrary.org/obo/DOID_1074,chk,1,0.333333333,3.750262801,1.2500876
http://purl.obolibrary.org/obo/DOID_11394,ards,1,0.5,8.570544367,4.285272183
http://purl.obolibrary.org/obo/DOID_11394,rad,1,0.5,4.104636248,2.052318124
http://purl.obolibrary.org/obo/DOID_1579,pulresp,13,0.191176471,6.624634218,1.266474189
http://purl.obolibrary.org/obo/DOID_1579,pulrespcmnt,9,0.132352941,8.570544367,1.134336754
http://purl.obolibrary.org/obo/DOID_1579,cmnt,13,0.191176471,5.931487037,1.133960757
http://purl.obolibrary.org/obo/DOID_1579,resp,1,0.014705882,7.877397186,0.115844076
http://purl.obolibrary.org/obo/DOID_1579,226plate030,1,0.014705882,6.005595009,0.088317574
http://purl.obolibrary.org/obo/DOID_1579,226plate150,1,0.014705882,6.005595009,0.088317574
http://purl.obolibrary.org/obo/DOID_1579,mhterm,1,0.014705882,6.005595009,0.088317574
http://purl.obolibrary.org/obo/DOID_1579,226plate010,1,0.014705882,5.931487037,0.087227751
http://purl.obolibrary.org/obo/DOID_1579,226plate020,1,0.014705882,5.931487037,0.087227751
http://purl.obolibrary.org/obo/DOID_1579,226plate050,1,0.014705882,5.931487037,0.087227751
http://purl.obolibrary.org/obo/DOID_1579,226plate040,1,0.014705882,5.862494166,0.086213149
http://purl.obolibrary.org/obo/DOID_1579,226plate080,1,0.014705882,5.797955645,0.085264054
http://purl.obolibrary.org/obo/DOID_1579,226plate100,1,0.014705882,5.797955645,0.085264054
http://purl.obolibrary.org/obo/DOID_1579,226plate110,1,0.014705882,5.797955645,0.085264054
http://purl.obolibrary.org/obo/DOID_1579,126plate031,1,0.014705882,5.392490537,0.079301331
http://purl.obolibrary.org/obo/DOID_1579,126plate090,1,0.014705882,5.392490537,0.079301331
http://purl.obolibrary.org/obo/DOID_1579,226plate003,1,0.014705882,5.392490537,0.079301331
http://purl.obolibrary.org/obo/DOID_1579,126plate051,1,0.014705882,5.351668542,0.078701008
http://purl.obolibrary.org/obo/DOID_1579,126plate035,1,0.014705882,5.238339857,0.07703441
http://purl.obolibrary.org/obo/DOID_1579,126plate311,1,0.014705882,5.169346985,0.076019809
http://purl.obolibrary.org/obo/DOID_1579,126plate411,1,0.014705882,5.169346985,0.076019809
http://purl.obolibrary.org/obo/DOID_1579,226plate200,1,0.014705882,5.169346985,0.076019809
http://purl.obolibrary.org/obo/DOID_1579,226plate210,1,0.014705882,5.169346985,0.076019809
http://purl.obolibrary.org/obo/DOID_1579,226plate220,1,0.014705882,5.169346985,0.076019809
http://purl.obolibrary.org/obo/DOID_1579,227plate004,1,0.014705882,5.169346985,0.076019809
http://purl.obolibrary.org/obo/DOID_1579,126plate021,1,0.014705882,5.136557162,0.075537605
http://purl.obolibrary.org/obo/DOID_1579,126plate400,1,0.014705882,5.136557162,0.075537605
http://purl.obolibrary.org/obo/DOID_1579,126plate301,1,0.014705882,5.104808464,0.075070713
http://purl.obolibrary.org/obo/DOID_1579,visits,1,0.014705882,4.658521361,0.068507667
http://purl.obolibrary.org/obo/DOID_1579,all,1,0.014705882,4.266479274,0.062742342
http://purl.obolibrary.org/obo/DOID_1579,mothers,1,0.014705882,4.093207552,0.060194229
http://purl.obolibrary.org/obo/DOID_1579,database,1,0.014705882,3.879196485,0.057047007
http://purl.obolibrary.org/obo/DOID_1579,bc,1,0.014705882,3.861014166,0.05677962
http://purl.obolibrary.org/obo/DOID_1579,final,1,0.014705882,3.861014166,0.05677962
http://purl.obolibrary.org/obo/DOID_1579,1,1,0.014705882,3.586937745,0.052749084
http://purl.obolibrary.org/obo/DOID_1579,3,1,0.014705882,3.297544808,0.048493306
http://purl.obolibrary.org/obo/DOID_17,musccmnt,8,0.133333333,8.570544367,1.142739249
